,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
59,1961,14,197.1,378.0,52.1,2526.6,20.4,5.4,23.7,6.3,7.5,5.7,14.3,180.5,68.5,37.7,301.3,6.08,4.5,9.1
60,1960,13,158.8,316.5,50.2,2047.5,17.0,5.4,21.1,6.7,7.2,5.3,14.4,170.6,64.2,30.2,241.2,5.91,4.2,8.7
61,1959,12,154.8,309.5,50.0,2037.7,16.4,5.3,18.4,6.0,7.2,5.6,14.5,169.8,66.9,25.7,205.8,6.08,4.6,7.7
62,1958,12,162.8,329.3,49.4,2164.3,17.6,5.3,20.3,6.2,7.2,5.5,14.5,180.4,65.3,24.2,193.3,6.12,4.5,6.8
63,1957,12,140.4,278.3,50.5,1841.0,14.2,5.1,19.3,6.9,7.4,5.3,14.7,153.4,63.2,27.6,221.1,6.02,4.1,9.0
64,1956,12,138.0,273.5,50.5,1770.9,13.5,4.9,20.0,7.3,7.1,4.8,14.0,147.6,59.6,20.8,165.9,6.02,3.9,7.1
65,1955,12,152.4,318.3,47.9,1917.4,15.0,4.7,21.5,6.8,6.6,4.5,13.8,159.8,57.1,23.8,189.7,5.61,3.7,6.9
66,1954,12,177.9,352.7,50.4,2299.4,17.6,5.0,24.5,6.9,7.2,5.1,14.2,191.6,61.7,29.2,232.8,6.02,4.1,7.6
67,1953,12,168.3,355.6,47.3,2085.4,15.8,4.4,25.5,7.2,6.5,4.2,13.8,173.8,53.6,29.3,233.3,5.42,3.3,7.6
68,1952,12,155.3,335.3,46.3,1919.4,18.2,5.4,24.8,7.4,6.7,4.4,14.4,160.0,55.7,39.0,312.3,5.13,3.1,10.4
69,1951,12,150.8,323.4,46.6,1952.9,16.7,5.2,24.0,7.4,6.8,4.5,14.6,162.7,55.6,31.8,253.9,5.50,3.4,8.9
70,1950,13,154.5,331.3,46.6,1988.9,16.9,5.1,26.4,8.0,6.7,4.2,14.5,165.7,52.9,30.8,245.7,5.49,3.1,8.5
71,1949,10,152.7,327.5,46.6,1932.4,16.8,5.1,24.7,7.5,6.5,4.2,14.0,161.0,53.9,26.4,211.2,5.46,3.3,7.5
72,1948,10,149.8,311.6,48.1,2087.1,19.6,6.3,23.2,7.4,6.7,4.6,13.9,173.9,60.0,0.0,0.0,6.70,4.6,0.0
73,1947,10,140.6,299.1,47.0,2167.0,18.8,6.3,25.0,8.4,7.2,4.7,15.4,180.6,57.6,0.0,0.0,7.25,4.7,0.0
74,1946,10,104.9,234.1,44.8,1573.6,12.6,5.4,21.2,9.1,6.7,3.7,15.0,143.1,47.6,0.0,0.0,6.72,3.7,0.0
75,1945,10,96.1,210.7,45.6,1437.7,10.9,5.2,19.3,9.2,6.8,3.7,15.0,143.8,47.6,0.0,0.0,6.82,3.7,0.0
76,1944,11,82.4,192.2,42.9,1175.0,10.6,5.5,21.3,11.1,6.1,2.2,14.3,129.3,42.1,0.0,0.0,6.11,2.2,0.0
77,1943,10,76.9,173.2,44.4,1130.8,11.4,6.6,18.2,10.5,6.5,3.1,14.7,141.4,48.6,0.0,0.0,6.53,3.1,0.0
78,1942,10,98.6,224.9,43.8,1360.8,10.8,4.8,21.9,9.7,6.1,2.6,13.8,123.7,40.3,0.0,0.0,6.05,2.6,0.0
79,1941,10,97.8,221.0,44.3,1339.7,9.9,4.5,22.0,10.0,6.1,2.5,13.7,121.8,39.6,0.0,0.0,6.06,2.5,0.0
80,1940,10,96.8,225.4,42.9,1378.8,10.0,4.4,22.3,9.9,6.1,2.6,14.2,125.3,38.6,0.0,0.0,6.12,2.6,0.0
81,1939,10,95.2,223.8,42.5,1416.8,9.9,4.4,20.9,9.3,6.3,3.0,14.9,128.8,39.7,0.0,0.0,6.33,3.0,0.0
82,1938,10,82.4,203.0,40.6,1164.1,9.3,4.6,22.1,10.9,5.7,1.8,14.1,105.8,35.5,0.0,0.0,5.73,1.8,0.0
83,1937,10,69.7,181.5,38.4,1022.7,9.0,5.0,20.6,11.3,5.6,1.5,14.7,93.0,34.5,0.0,0.0,5.63,1.5,0.0
84,1936,9,67.1,184.0,36.5,995.6,7.4,4.0,24.0,13.0,5.4,0.4,14.8,83.0,28.9,0.0,0.0,5.41,0.4,0.0
85,1935,9,61.3,181.1,33.9,939.2,7.1,3.9,26.4,14.6,5.2,-0.6,15.3,79.7,25.4,0.0,0.0,5.19,-0.6,0.0
86,1934,11,45.9,146.0,31.4,647.0,5.1,3.5,18.7,12.8,4.4,-0.6,14.1,59.3,18.8,0.0,0.0,4.43,-0.6,0.0
87,1933,10,57.6,163.1,35.3,887.8,5.7,3.5,24.9,15.3,5.4,-0.7,15.4,77.9,26.3,0.0,0.0,5.44,-0.7,0.0
88,1932,8,46.5,130.5,35.6,662.5,5.3,4.0,12.3,9.4,5.1,1.7,14.2,55.2,27.2,0.0,0.0,5.08,1.7,0.0
