,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
79,1941,10,407.6,1284.0,11.4,3.2,116.7,37.1,97.8,1338.4,13.7,9.9,8.9,121.8,,505.4,5.2,2622.4,21.3,25.6
80,1940,10,413.6,1316.0,10.0,3.2,119.6,37.6,96.8,1378.8,14.2,10.0,8.8,125.3,,510.4,5.3,2694.8,20.0,26.3
81,1939,10,407.5,1326.9,10.2,3.3,120.6,37.0,95.2,1416.8,14.9,9.9,8.7,128.8,,502.7,5.5,2743.7,20.1,27.7
82,1938,10,414.3,1370.8,8.3,3.3,124.6,37.7,82.4,1164.1,14.1,9.3,7.5,105.8,,496.7,5.1,2534.9,17.6,26.8
83,1937,10,426.2,1395.9,6.7,3.3,126.9,38.7,69.7,1022.7,14.7,9.0,6.3,93.0,,495.9,4.9,2418.6,15.7,25.8
84,1936,9,494.8,1707.8,8.6,3.5,142.3,41.2,67.1,995.6,14.8,7.4,5.6,83.0,,561.9,4.8,2703.3,16.0,29.0
85,1935,9,457.3,1371.1,7.4,3.0,116.4,38.8,61.3,939.2,15.3,7.1,5.2,79.7,,518.7,4.5,2310.3,14.6,28.0
86,1934,11,403.7,1542.5,9.2,3.8,141.4,37.0,45.9,635.5,13.8,5.1,4.2,59.3,,449.6,4.8,2177.9,14.3,0.0
87,1933,10,411.8,1379.2,6.9,3.3,121.0,36.1,57.6,838.3,14.6,5.7,5.1,77.9,,469.4,4.7,2217.5,12.6,0.0
88,1932,8,404.8,1318.6,6.9,3.3,109.9,33.7,46.5,632.3,13.6,5.3,3.9,55.2,,451.3,4.3,1950.9,12.1,0.0
