,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
66,1954,12,4775,18982,152,4.0,131.8,33.2,2135,30387,14.2,211,14.8,191.6,,6910,7.1,49369,363,339
67,1953,12,4817,19245,169,4.0,133.6,33.5,2020,27824,13.8,189,14.0,173.8,,6837,6.9,47069,358,360
68,1952,12,5069,19320,147,3.8,134.2,35.2,1863,26781,14.4,218,12.9,160.0,,6932,6.7,46101,365,372
69,1951,12,5402,21883,175,4.1,152.0,37.5,1809,26482,14.6,200,12.6,162.7,,7211,6.7,48365,375,315
70,1950,13,5793,24075,208,4.2,154.3,37.1,2008,29050,14.5,220,12.9,165.7,,7801,6.8,53125,428,424
71,1949,10,4641,18072,159,3.9,150.6,38.7,1527,21436,14.0,168,12.7,161.0,,6168,6.4,39508,327,288
72,1948,10,4549,18178,151,4.0,151.5,37.9,1498,20871,13.9,196,12.5,173.9,,6047,6.5,39049,347,335
73,1947,10,4281,16678,135,3.9,139.0,35.7,1406,21670,15.4,188,11.7,180.6,,5687,6.7,38348,323,303
74,1946,10,4159,13809,141,3.3,125.5,37.8,1049,15736,15.0,126,9.5,143.1,,5208,5.7,29545,267,357
75,1945,10,3618,12272,134,3.4,122.7,36.2,961,14377,15.0,109,9.6,143.8,,4579,5.8,26649,243,277
76,1944,11,3724,11899,118,3.2,119.0,37.2,906,12925,14.3,117,9.1,129.3,,4630,5.4,24824,235,249
77,1943,10,2945,9464,85,3.2,118.3,36.8,769,11308,14.7,114,9.6,141.4,,3714,5.6,20772,199,181
78,1942,10,4052,13541,97,3.3,123.1,36.8,986,13619,13.8,108,9.0,123.7,,5038,5.4,27160,205,232
79,1941,10,4076,12840,114,3.2,116.7,37.1,978,13384,13.7,99,8.9,121.8,,5054,5.2,26224,213,256
80,1940,10,4136,13160,100,3.2,119.6,37.6,968,13788,14.2,100,8.8,125.3,,5104,5.3,26948,200,263
81,1939,10,4075,13269,102,3.3,120.6,37.0,952,14168,14.9,99,8.7,128.8,,5027,5.5,27437,201,277
82,1938,10,4143,13708,83,3.3,124.6,37.7,824,11641,14.1,93,7.5,105.8,,4967,5.1,25349,176,268
83,1937,10,4262,13959,67,3.3,126.9,38.7,697,10227,14.7,90,6.3,93.0,,4959,4.9,24186,157,258
84,1936,9,4453,15370,77,3.5,142.3,41.2,604,8960,14.8,67,5.6,83.0,,5057,4.8,24330,144,261
85,1935,9,4116,12340,67,3.0,116.4,38.8,552,8453,15.3,64,5.2,79.7,,4668,4.5,20793,131,252
86,1934,11,4441,16967,101,3.8,141.4,37.0,505,6990,13.8,56,4.2,59.3,,4946,4.8,23957,157,0
87,1933,10,4118,13792,69,3.3,121.0,36.1,576,8383,14.6,57,5.1,77.9,,4694,4.7,22175,126,0
88,1932,8,3238,10549,55,3.3,109.9,33.7,372,5058,13.6,42,3.9,55.2,,3610,4.3,15607,97,0
