,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
66,1954,12,33.2,131.8,1.1,4.0,131.8,33.2,14.8,211.0,14.2,1.5,14.8,191.6,,48.0,7.1,342.8,2.5,2.4
67,1953,12,33.5,133.6,1.2,4.0,133.6,33.5,14.0,193.2,13.8,1.3,14.0,173.8,,47.5,6.9,326.9,2.5,2.5
68,1952,12,35.2,134.2,1.0,3.8,134.2,35.2,12.9,186.0,14.4,1.5,12.9,160.0,,48.1,6.7,320.1,2.5,2.6
69,1951,12,37.5,152.0,1.2,4.1,152.0,37.5,12.6,183.9,14.6,1.4,12.6,162.7,,50.1,6.7,335.9,2.6,2.2
70,1950,13,37.1,154.3,1.3,4.2,154.3,37.1,12.9,186.2,14.5,1.4,12.9,165.7,,50.0,6.8,340.5,2.7,2.7
71,1949,10,38.7,150.6,1.3,3.9,150.6,38.7,12.7,178.6,14.0,1.4,12.7,161.0,,51.4,6.4,329.2,2.7,2.4
72,1948,10,37.9,151.5,1.3,4.0,151.5,37.9,12.5,173.9,13.9,1.6,12.5,173.9,,50.4,6.5,325.4,2.9,2.8
73,1947,10,35.7,139.0,1.1,3.9,139.0,35.7,11.7,180.6,15.4,1.6,11.7,180.6,,47.4,6.7,319.6,2.7,2.5
74,1946,10,37.8,125.5,1.3,3.3,125.5,37.8,9.5,143.1,15.0,1.1,9.5,143.1,,47.3,5.7,268.6,2.4,3.2
75,1945,10,36.2,122.7,1.3,3.4,122.7,36.2,9.6,143.8,15.0,1.1,9.6,143.8,,45.8,5.8,266.5,2.4,2.8
76,1944,11,37.2,119.0,1.2,3.2,119.0,37.2,9.1,129.3,14.3,1.2,9.1,129.3,,46.3,5.4,248.2,2.4,2.5
77,1943,10,36.8,118.3,1.1,3.2,118.3,36.8,9.6,141.4,14.7,1.4,9.6,141.4,,46.4,5.6,259.7,2.5,2.3
78,1942,10,36.8,123.1,0.9,3.3,123.1,36.8,9.0,123.8,13.8,1.0,9.0,123.7,,45.8,5.4,246.9,1.9,2.1
79,1941,10,37.1,116.7,1.0,3.2,116.7,37.1,8.9,121.7,13.7,0.9,8.9,121.8,,45.9,5.2,238.4,1.9,2.3
80,1940,10,37.6,119.6,0.9,3.2,119.6,37.6,8.8,125.3,14.2,0.9,8.8,125.3,,46.4,5.3,245.0,1.8,2.4
81,1939,10,37.0,120.6,0.9,3.3,120.6,37.0,8.7,128.8,14.9,0.9,8.7,128.8,,45.7,5.5,249.4,1.8,2.5
82,1938,10,37.7,124.6,0.8,3.3,124.6,37.7,7.5,105.8,14.1,0.8,7.5,105.8,,45.2,5.1,230.4,1.6,2.4
83,1937,10,38.7,126.9,0.6,3.3,126.9,38.7,6.3,93.0,14.7,0.8,6.3,93.0,,45.1,4.9,219.9,1.4,2.3
84,1936,9,41.2,142.3,0.7,3.5,142.3,41.2,5.6,83.0,14.8,0.6,5.6,83.0,,46.8,4.8,225.3,1.3,2.4
85,1935,9,38.8,116.4,0.6,3.0,116.4,38.8,5.2,79.7,15.3,0.6,5.2,79.7,,44.0,4.5,196.2,1.2,2.4
86,1934,11,37.0,141.4,0.8,3.8,141.4,37.0,4.2,58.3,13.8,0.5,4.2,59.3,,41.2,4.8,199.6,1.3,0.0
87,1933,10,36.1,121.0,0.6,3.3,121.0,36.1,5.1,73.5,14.6,0.5,5.1,77.9,,41.2,4.7,194.5,1.1,0.0
88,1932,8,33.7,109.9,0.6,3.3,109.9,33.7,3.9,52.7,13.6,0.4,3.9,55.2,,37.6,4.3,162.6,1.0,0.0
