,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
83,1937,10,12.9,219.9,55.2,4.0,1.9,0.0,10.0,6.3,16.5,93.0,0.8,1.9,5.6,,38.7,126.9,0.6,3.3,10.0,0.0,25.2,,,,,,,
84,1936,9,11.9,225.3,56.6,4.0,2.0,0.0,10.8,5.6,15.3,83.0,0.6,2.0,5.4,,41.2,142.3,0.7,3.5,10.8,0.0,26.0,,,,,,,
85,1935,9,10.9,196.2,54.2,3.6,2.2,0.0,8.8,5.2,15.4,79.7,0.6,2.2,5.2,,38.8,116.4,0.6,3.0,8.8,0.0,20.3,,,,,,,
86,1934,11,10.8,200.7,50.4,4.0,1.7,0.0,,4.2,13.4,59.3,0.5,1.7,4.4,,37.0,141.4,0.8,3.8,,0.0,0.0,,,,,,,
87,1933,10,9.7,198.9,50.4,3.9,2.2,0.0,,5.1,14.3,77.9,0.5,2.2,5.4,,36.1,121.0,0.6,3.3,,0.0,0.0,,,,,,,
88,1932,8,8.2,165.1,44.6,3.7,1.0,0.0,,3.9,10.9,55.2,0.4,1.0,5.1,,33.7,109.9,0.6,3.3,,0.0,0.0,,,,,,,
89,1931,10,9.9,,,,,0.0,,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.8,,,0.0,0.0,,,,,,,
90,1930,11,10.6,,,,,0.0,,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.9,,,0.0,0.0,,,,,,,
91,1929,12,9.5,,,,,0.0,,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,0.7,,,0.0,0.0,,,,,,,
92,1928,10,9.5,,,,,0.0,,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,0.7,,,0.0,0.0,,,,,,,
93,1927,12,9.1,,,,,0.0,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.7,,,0.0,0.0,,,,,,,
94,1926,22,7.6,,,,,0.0,,0.0,0.0,0.0,0.3,0.0,,,0.0,0.0,0.6,,,0.0,0.0,,,,,,,
95,1925,20,8.9,,,,,0.0,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.6,,,0.0,0.0,,,,,,,
96,1924,18,10.4,,,,,0.0,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.7,,,0.0,0.0,,,,,,,
97,1923,20,7.9,,,,,0.0,,0.0,0.0,0.0,0.3,0.0,,,0.0,0.0,0.5,,,0.0,0.0,,,,,,,
98,1922,18,9.1,,,,,0.0,,0.0,0.0,0.0,0.2,0.0,,,0.0,0.0,0.8,,,0.0,0.0,,,,,,,
