,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
79,1941,10,1812,26237,6286,4.2,346,126,1272,978,2210,13397,99,220,6.1,480,4076,12840,114,3.2,700,472,4218,92,,,,,,
80,1940,10,1657,26948,6390,4.2,223,0,1261,968,2254,13788,100,223,6.1,,4136,13160,100,3.2,1261,0,3362,,,,,,,
81,1939,10,1692,27437,6313,4.3,209,0,1219,952,2238,14168,99,209,6.3,,4075,13269,102,3.3,1219,0,2762,,,,,,,
82,1938,10,1484,25349,6173,4.1,221,0,1190,824,2030,11641,93,221,5.7,,4143,13708,83,3.3,1190,0,2846,,,,,,,
83,1937,10,1424,24186,6077,4.0,206,0,1098,697,1815,10227,90,206,5.6,,4262,13959,67,3.3,1098,0,2775,,,,,,,
84,1936,9,1284,24330,6109,4.0,216,0,1166,604,1656,8960,67,216,5.4,,4453,15370,77,3.5,1166,0,2803,,,,,,,
85,1935,9,1158,20793,5746,3.6,238,0,936,552,1630,8453,64,238,5.2,,4116,12340,67,3.0,936,0,2150,,,,,,,
86,1934,11,1290,24084,6047,4.0,206,0,,505,1606,7117,56,206,4.4,,4441,16967,101,3.8,,0,0,,,,,,,
87,1933,10,1105,22670,5749,3.9,249,0,,576,1631,8878,57,249,5.4,,4118,13792,69,3.3,,0,0,,,,,,,
88,1932,8,788,15849,4282,3.7,98,0,,372,1044,5300,42,98,5.1,,3238,10549,55,3.3,,0,0,,,,,,,
89,1931,10,1164,,,,,0,,0,0,0,57,0,,,0,0,97,,,0,0,,,,,,,
90,1930,11,1545,,,,,0,,0,0,0,77,0,,,0,0,132,,,0,0,,,,,,,
91,1929,12,1344,,,,,0,,0,0,0,79,0,,,0,0,98,,,0,0,,,,,,,
92,1928,10,1066,,,,,0,,0,0,0,66,0,,,0,0,78,,,0,0,,,,,,,
93,1927,12,1307,,,,,0,,0,0,0,55,0,,,0,0,107,,,0,0,,,,,,,
94,1926,22,1763,,,,,0,,0,0,0,61,0,,,0,0,131,,,0,0,,,,,,,
95,1925,20,1841,,,,,0,,0,0,0,86,0,,,0,0,120,,,0,0,,,,,,,
96,1924,18,1656,,,,,0,,0,0,0,64,0,,,0,0,113,,,0,0,,,,,,,
97,1923,20,1393,,,,,0,,0,0,0,46,0,,,0,0,93,,,0,0,,,,,,,
98,1922,18,1351,,,,,0,,0,0,0,31,0,,,0,0,123,,,0,0,,,,,,,
